Country,Year,Month,Sector,Value
Japan,2019.0,4.0,Ground Transport,0.5
Japan,2019.0,4.0,Industry,0.582
Japan,2019.0,4.0,International Aviation,0.051
Japan,2019.0,4.0,Power,1.455
Japan,2019.0,4.0,Residential,0.565
ROW,2019.0,4.0,Domestic Aviation,0.19
ROW,2019.0,4.0,Ground Transport,5.488
ROW,2019.0,4.0,Industry,9.273
ROW,2019.0,4.0,International Aviation,0.785
ROW,2019.0,4.0,Power,9.832
ROW,2019.0,4.0,Residential,5.327
Russia,2019.0,4.0,Domestic Aviation,0.04
Russia,2019.0,4.0,Ground Transport,0.515
Russia,2019.0,4.0,Industry,0.614
Russia,2019.0,4.0,International Aviation,0.031
Russia,2019.0,4.0,Power,3.057
Russia,2019.0,4.0,Residential,0.878
Spain,2019.0,4.0,Domestic Aviation,0.015
Spain,2019.0,4.0,Ground Transport,0.253
Spain,2019.0,4.0,Industry,0.211
Spain,2019.0,4.0,International Aviation,0.059
Spain,2019.0,4.0,Power,0.216
Spain,2019.0,4.0,Residential,0.179
United Kingdom,2019.0,4.0,Domestic Aviation,0.007
United Kingdom,2019.0,4.0,Ground Transport,0.301
United Kingdom,2019.0,4.0,Industry,0.193
United Kingdom,2019.0,4.0,International Aviation,0.092
United Kingdom,2019.0,4.0,Power,0.398
United Kingdom,2019.0,4.0,Residential,0.393
United States,2019.0,4.0,Domestic Aviation,0.483
United States,2019.0,4.0,Ground Transport,4.623
United States,2019.0,4.0,Industry,2.924
United States,2019.0,4.0,International Aviation,0.222
United States,2019.0,4.0,Power,4.362
United States,2019.0,4.0,Residential,2.82
WORLD,2019.0,4.0,Domestic Aviation,0.999
WORLD,2019.0,4.0,Ground Transport,17.386
WORLD,2019.0,4.0,Industry,27.711
WORLD,2019.0,4.0,International Aviation,1.69
WORLD,2019.0,4.0,Power,40.405
WORLD,2019.0,4.0,Residential,18.395
Brazil,2019.0,5.0,Domestic Aviation,0.031
Brazil,2019.0,5.0,Ground Transport,0.371
Brazil,2019.0,5.0,Industry,0.264
Brazil,2019.0,5.0,International Aviation,0.022
Brazil,2019.0,5.0,Power,0.119
Brazil,2019.0,5.0,Residential,0.098
China,2019.0,5.0,Domestic Aviation,0.159
China,2019.0,5.0,Ground Transport,2.515
China,2019.0,5.0,Industry,10.261
China,2019.0,5.0,International Aviation,0.085
China,2019.0,5.0,Power,14.601
China,2019.0,5.0,Residential,3.909
France,2019.0,5.0,Domestic Aviation,0.004
France,2019.0,5.0,Ground Transport,0.254
France,2019.0,5.0,Industry,0.17
France,2019.0,5.0,International Aviation,0.053
France,2019.0,5.0,Power,0.147
France,2019.0,5.0,Residential,0.403
Germany,2019.0,5.0,Domestic Aviation,0.003
Germany,2019.0,5.0,Ground Transport,0.351
Germany,2019.0,5.0,Industry,0.253
Germany,2019.0,5.0,International Aviation,0.073
Germany,2019.0,5.0,Power,0.699
Germany,2019.0,5.0,Residential,0.601
India,2019.0,5.0,Domestic Aviation,0.02
India,2019.0,5.0,Ground Transport,0.834
India,2019.0,5.0,Industry,2.118
India,2019.0,5.0,International Aviation,0.036
India,2019.0,5.0,Power,3.435
India,2019.0,5.0,Residential,1.367
Italy,2019.0,5.0,Domestic Aviation,0.005
Italy,2019.0,5.0,Ground Transport,0.204
Italy,2019.0,5.0,Industry,0.109
Italy,2019.0,5.0,International Aviation,0.034
Italy,2019.0,5.0,Power,0.253
Italy,2019.0,5.0,Residential,0.461
Japan,2019.0,5.0,Domestic Aviation,0.025
Japan,2019.0,5.0,Ground Transport,0.483
Japan,2019.0,5.0,Industry,0.587
Japan,2019.0,5.0,International Aviation,0.051
Japan,2019.0,5.0,Power,1.468
Japan,2019.0,5.0,Residential,0.55
ROW,2019.0,5.0,Domestic Aviation,0.173
ROW,2019.0,5.0,Ground Transport,5.066
ROW,2019.0,5.0,Industry,8.866
ROW,2019.0,5.0,International Aviation,0.812
ROW,2019.0,5.0,Power,9.405
ROW,2019.0,5.0,Residential,5.236
Russia,2019.0,5.0,Domestic Aviation,0.038
Russia,2019.0,5.0,Ground Transport,0.573
Russia,2019.0,5.0,Industry,0.615
Russia,2019.0,5.0,International Aviation,0.035
Russia,2019.0,5.0,Power,3.061
Russia,2019.0,5.0,Residential,0.887
Spain,2019.0,5.0,Domestic Aviation,0.014
Spain,2019.0,5.0,Ground Transport,0.144
Spain,2019.0,5.0,Industry,0.172
Spain,2019.0,5.0,International Aviation,0.068
Spain,2019.0,5.0,Power,0.176
Spain,2019.0,5.0,Residential,0.176
United Kingdom,2019.0,5.0,Domestic Aviation,0.003
United Kingdom,2019.0,5.0,Ground Transport,0.258
United Kingdom,2019.0,5.0,Industry,0.162
United Kingdom,2019.0,5.0,International Aviation,0.091
United Kingdom,2019.0,5.0,Power,0.333
United Kingdom,2019.0,5.0,Residential,0.354
United States,2019.0,5.0,Domestic Aviation,0.44
United States,2019.0,5.0,Ground Transport,4.416
United States,2019.0,5.0,Industry,2.819
United States,2019.0,5.0,International Aviation,0.226
United States,2019.0,5.0,Power,4.041
United States,2019.0,5.0,Residential,2.608
WORLD,2019.0,5.0,Domestic Aviation,0.918
WORLD,2019.0,5.0,Ground Transport,16.178
WORLD,2019.0,5.0,Industry,26.971
WORLD,2019.0,5.0,International Aviation,1.738
WORLD,2019.0,5.0,Power,39.164
WORLD,2019.0,5.0,Residential,17.625
Brazil,2019.0,6.0,Domestic Aviation,0.03
Brazil,2019.0,6.0,Ground Transport,0.263
Brazil,2019.0,6.0,Industry,0.266
Brazil,2019.0,6.0,International Aviation,0.022
Brazil,2019.0,6.0,Power,0.119
Brazil,2019.0,6.0,Residential,0.098
China,2019.0,6.0,Domestic Aviation,0.165
China,2019.0,6.0,Ground Transport,2.453
China,2019.0,6.0,Industry,10.336
China,2019.0,6.0,International Aviation,0.082
China,2019.0,6.0,Power,14.708
China,2019.0,6.0,Residential,3.892
France,2019.0,6.0,Domestic Aviation,0.005
France,2019.0,6.0,Ground Transport,0.173
France,2019.0,6.0,Industry,0.161
France,2019.0,6.0,International Aviation,0.055
France,2019.0,6.0,Power,0.14
France,2019.0,6.0,Residential,0.383
Germany,2019.0,6.0,Domestic Aviation,0.004
Germany,2019.0,6.0,Ground Transport,0.212
Germany,2019.0,6.0,Industry,0.32
Germany,2019.0,6.0,International Aviation,0.077
Germany,2019.0,6.0,Power,0.882
Germany,2019.0,6.0,Residential,0.623
India,2019.0,6.0,Domestic Aviation,0.02
India,2019.0,6.0,Ground Transport,0.783
India,2019.0,6.0,Industry,2.014
India,2019.0,6.0,International Aviation,0.037
India,2019.0,6.0,Power,3.267
India,2019.0,6.0,Residential,1.329
Italy,2019.0,6.0,Domestic Aviation,0.005
Italy,2019.0,6.0,Ground Transport,0.152
Italy,2019.0,6.0,Industry,0.098
Italy,2019.0,6.0,International Aviation,0.037
Italy,2019.0,6.0,Power,0.228
Italy,2019.0,6.0,Residential,0.399
